,month,avg_crew,avg_wo,sd_wo,avg_rate
0,1,9,68,20.88313346119051,7
1,2,9,111,47.60399511466651,12
2,3,10,96,26.91653766738954,9
3,4,6,58,16.58566898211873,9
4,5,6,69,27.709039132983342,11
5,6,7,64,20.221305243993307,9
6,7,9,87,36.485628498855846,9
7,8,8,88,30.015585695024924,11
8,9,8,100,40.98512897504959,12
9,10,7,111,54.7783774396489,15
10,11,8,74,26.364276944650484,9
11,12,9,74,21.926544035331542,8
