,month,quad,avg_wo,sd_wo
0,1,NE,11,6.2556641001042665
1,1,NW,14,8.737724308248488
2,1,SE,20,11.670809406711781
3,1,SW,34,13.610856374799171
4,2,NE,5,2.8818853478052757
5,2,NW,11,5.5179445827500535
6,2,SE,20,10.72625897407607
7,2,SW,24,13.992267499713897
8,3,NE,9,6.045283661289563
9,3,NW,12,4.944354388209398
10,3,SE,20,8.748333174572931
11,3,SW,38,17.094945280702056
12,4,NE,18,8.444244380517107
13,4,NW,17,8.883078909313532
14,4,SE,36,15.566833839592228
15,4,SW,55,31.33624099983914
16,5,NE,33,13.85597857578057
17,5,NW,42,20.1364957611413
18,5,SE,48,23.68093244078075
19,5,SW,102,41.28929829684873
20,6,NE,26,10.654755254054853
21,6,NW,28,17.455199302327735
22,6,SE,53,22.14135211960215
23,6,SW,58,27.057543715880023
24,7,NE,21,6.961862715360917
25,7,NW,19,10.493112650944576
26,7,SE,51,15.264479323066645
27,7,SW,54,16.93524052210366
28,8,NE,15,6.421183826336208
29,8,NW,18,10.464224768228174
30,8,SE,33,13.641079553444415
31,8,SW,51,26.38572846571924
32,9,NE,18,9.816409973198184
33,9,NW,24,12.291743428893197
34,9,SE,21,11.881157551430112
35,9,SW,46,21.511146813441567
36,10,NE,16,6.33048961883907
37,10,NW,12,6.8750442737653525
38,10,SE,18,8.277069615686756
39,10,SW,32,11.87134591168755
40,11,NE,7,2.928534751283257
41,11,NW,9,4.999736835179691
42,11,SE,11,4.974672694866731
43,11,SW,28,5.476157785671193
44,12,NE,8,4.652700188881618
45,12,NW,8,3.2630689615175235
46,12,SE,11,5.694989063457491
47,12,SW,25,10.137154667948238
