month,quad,avg_wo,sd_wo
1,Clean Size 1,31.90322581,5
1,Clean Size 2,15.58064516,4
1,Clean Size 3,4.35483871,2
2,Clean Size 1,34.67857143,5
2,Clean Size 2,16.64285714,4
2,Clean Size 3,4.75,2
3,Clean Size 1,38.87096774,5
3,Clean Size 2,18.41935484,4
3,Clean Size 3,5.290322581,2
